kms,precio
75969,509718
103098,515768
79743,560846
79060,565158
120001,600041
43613,600424
48312,626098
48312,626098
65004,635000
79234,637758
100741,647812
27027,655402
91919,681758
91919,681758
21549,685300
136184,695002
62501,704861
29197,712074
130075,721534
133417,741560
86529,747076
117084,755014
131757,791560
27863,814000
27863,814000
34340,840400
34340,840400
47356,857736
29189,914936
54050,921800
54050,921800
20000,1000000
25000,1005000
24184,1207484
41827,1227600
21048,1284844
11825,1297582
21613,1342000
6048,1385956
